step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
17,1799014.5,0.0,0.0,7035911.78,8911269.61,0,False,False,False,False,True,0
49,960233.9242064977,960233.9242064977,0.0,98381.06508633994,1058614.9892928377,0,False,True,False,False,False,1
17,305627.0,305627.0,0.0,0.0,0.0,0,False,False,False,False,True,1
349,177820.78376809228,177820.78376809228,0.0,0.0,0.0,0,False,False,False,False,True,1
374,682.48,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
592,171252.49,0.0,0.0,1625288.75,1796541.24,0,False,True,False,False,False,0
396,500509.6066473385,500509.6066473385,0.0,0.0,0.0,0,False,False,False,False,True,1
191,30572.29,251337.0,281909.29,58900.87,28328.58,0,True,False,False,False,False,0
371,205163.3,205163.3,0.0,0.0,205163.3,0,False,True,False,False,False,1
300,60751.81,19830.0,0.0,175822.91,236574.72,0,False,True,False,False,False,0
163,13299.69,10259.0,0.0,0.0,0.0,0,False,False,False,True,False,0
203,10153.65,99840.0,89686.35,0.0,0.0,0,False,False,False,True,False,0
561,31945.44,31945.44,0.0,95415.09,127360.53,0,False,True,False,False,False,1
121,936976.86,936976.86,0.0,0.0,0.0,0,False,False,False,False,True,1
550,497742.83684964624,497742.83684964624,0.0,10444061.575823614,10941804.42267326,0,False,True,False,False,False,1
282,20013.17,44642.78,24629.61,0.0,0.0,0,False,False,False,True,False,0
378,15475.358712727608,15475.358712727608,0.0,0.0,0.0,0,False,False,False,False,True,1
211,121237.07,364.0,0.0,202693.91,323930.99,0,False,True,False,False,False,0
457,1027739.4557583473,1027739.4557583473,0.0,1261605.2468470635,2289344.7026054105,0,False,True,False,False,False,1
697,131843.59901235087,131843.59901235087,0.0,3474.6975208492536,135318.2965332001,0,False,True,False,False,False,1
554,1025082.07,1025082.07,0.0,0.0,0.0,0,False,False,False,False,True,1
34,434235.77655881515,425585.03004606935,0.0,292929.6940506094,1457253.4234953641,0,False,True,False,False,True,1
68,374178.28,374178.28,0.0,616364.57,990542.85,0,False,True,False,False,False,1
179,5012887.394698789,5012887.394698789,0.0,0.0,0.0,0,False,False,False,False,True,1
676,187561.78525732263,187561.78525732263,0.0,2355107.0876776106,2542668.872934933,0,False,True,False,False,False,1
213,30499.13,121495.14,90996.01,0.0,0.0,0,False,False,False,True,False,0
374,4628.22,349766.21,345137.99,0.0,0.0,0,False,False,False,True,False,0
188,96854.3,0.0,0.0,633534.51,730388.81,0,False,True,False,False,False,0
254,101038.75,1766.0,0.0,977276.79,1078315.54,0,False,True,False,False,False,0
201,92072.74,2453.0,94525.74,2489216.58,2397143.84,0,True,False,False,False,False,0
18,235003.59,10648.0,0.0,0.0,235003.59,0,False,True,False,False,False,0
268,538247.2684121854,538247.2684121854,0.0,0.0,538247.2684121854,0,False,True,False,False,False,1
495,197943.1,197943.1,0.0,0.0,0.0,0,False,False,False,False,True,1
351,1552664.33,1552664.33,0.0,3804336.89,5357001.22,0,False,True,False,False,False,1
155,44609.58,11235.0,0.0,5456050.26,5500659.84,0,False,True,False,False,False,0
601,18374.953024671577,18374.953024671577,0.0,0.0,0.0,0,False,False,False,False,True,1
137,113919.1,2430300.8,2544219.89,1075031.57,961112.47,0,True,False,False,False,False,0
331,11526.21,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
284,129542.82,2852442.22,2981985.05,503070.16,446933.23,0,True,False,False,False,False,0
